chunk_size,chunk_number,No of healthy records,No of unhealthy records,reading_time,filtering_time,frame_Total_Time
10000,61,8603,1397,0.24,0.13,0.37
10000,62,8601,1399,0.24,0.11,0.35
10000,63,8566,1434,0.17,0.14,0.31
10000,64,8578,1422,0.24,0.13,0.37
10000,65,8672,1328,0.2,0.13,0.33
10000,66,8504,1496,0.22,0.1,0.32
10000,67,8684,1316,0.2,0.13,0.33
10000,68,8659,1341,0.21,0.13,0.34
10000,69,8621,1379,0.25,0.11,0.36
10000,70,8623,1377,0.22,0.13,0.35
10000,71,8650,1350,0.21,0.13,0.34
10000,72,8652,1348,0.25,0.13,0.38
10000,73,8698,1302,0.24,0.1,0.34
10000,74,8575,1425,0.18,0.12,0.3
10000,75,8554,1446,0.23,0.12,0.35
10000,76,8651,1349,0.24,0.12,0.36
10000,77,8663,1337,0.22,0.1,0.32
10000,78,8734,1266,0.22,0.12,0.34
10000,79,8767,1233,0.25,0.14,0.39
10000,80,8590,1410,0.2,0.11,0.31
10000,81,8678,1322,0.21,0.15,0.36
10000,82,8635,1365,0.25,0.16,0.41
10000,83,8698,1302,0.22,0.15,0.37
10000,84,8691,1309,0.2,0.12,0.32
10000,85,8695,1305,0.19,0.14,0.33
10000,86,8614,1386,0.22,0.11,0.33
10000,87,8444,1556,0.21,0.12,0.33
10000,88,8531,1469,0.22,0.13,0.35
10000,89,8708,1292,0.27,0.15,0.42
10000,90,8468,1532,0.26,0.14,0.4
10000,91,8750,1250,0.22,0.13,0.35
10000,92,8700,1300,0.25,0.16,0.41
10000,93,8641,1359,0.22,0.12,0.34
10000,94,8555,1445,0.21,0.14,0.35
10000,95,8595,1405,0.2,0.13,0.33
10000,96,8664,1336,0.19,0.13,0.32
10000,97,8685,1315,0.23,0.13,0.36
10000,98,8694,1306,0.22,0.14,0.36
10000,99,8729,1271,0.25,0.13,0.38
10000,100,8715,1285,0.2,0.16,0.36
,,total:867014,total:132986,total:22.51,total:13.48,total:35.99
,,,,average:0.23,average:0.13,average:0.36
,,,,max:0.31,max:0.27,max:0.57
,,,,min:0.17,min:0.1,min:0.3
